"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 14:09:09 GMT 2024","Wed May 08 14:09:09 GMT 2024","316","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Wed May 08 14:09:00 GMT 2024","Wed May 08 14:09:01 GMT 2024","476","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_10_random_distinct_users","test_10_random_distinct_users","Test Select 10 random distinct users and print their names"
"passed","Wed May 08 14:09:01 GMT 2024","Wed May 08 14:09:02 GMT 2024","681","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_update_user","test_update_user","Test Update your user and change the name, then get and see if all the details are correct"
"passed","Wed May 08 14:09:01 GMT 2024","Wed May 08 14:09:01 GMT 2024","718","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_create_User","test_create_User","Test Add user then get the user to see of all the details are correct"
"passed","Wed May 08 14:09:08 GMT 2024","Wed May 08 14:09:09 GMT 2024","364","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Wed May 08 14:09:09 GMT 2024","Wed May 08 14:09:10 GMT 2024","377","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_valid_login","test_valid_login","Test Login with valid user data"
"passed","Wed May 08 14:09:05 GMT 2024","Wed May 08 14:09:07 GMT 2024","2604","Surefire suite","Surefire test","tests.EAappTests.UITests","tests.EAappTests.UITests","testCreateAndDeleteUser","testCreateAndDeleteUser","Test Add user and deletes it"
