"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 12:33:22 GMT 2024","Thu May 09 12:33:22 GMT 2024","384","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_valid_login","test_valid_login","Test Login with valid user data"
"passed","Thu May 09 12:33:07 GMT 2024","Thu May 09 12:33:08 GMT 2024","1198","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_10_random_distinct_users","test_10_random_distinct_users","Test Select 10 random distinct users and print their names"
"passed","Thu May 09 12:33:08 GMT 2024","Thu May 09 12:33:09 GMT 2024","1649","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_create_User","test_create_User","Test Add user then get the user to see of all the details are correct"
"passed","Thu May 09 12:33:21 GMT 2024","Thu May 09 12:33:21 GMT 2024","337","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Thu May 09 12:33:20 GMT 2024","Thu May 09 12:33:21 GMT 2024","392","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Thu May 09 12:33:16 GMT 2024","Thu May 09 12:33:19 GMT 2024","3042","Surefire suite","Surefire test","tests.EAappTests.UITests","tests.EAappTests.UITests","testCreateAndDeleteUser","testCreateAndDeleteUser","Test Add user and deletes it"
"passed","Thu May 09 12:33:09 GMT 2024","Thu May 09 12:33:11 GMT 2024","1686","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_update_user","test_update_user","Test Update your user and change the name, then get and see if all the details are correct"
