"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 13:20:31 GMT 2024","Wed May 08 13:20:32 GMT 2024","350","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Wed May 08 13:20:32 GMT 2024","Wed May 08 13:20:33 GMT 2024","382","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_valid_login","test_valid_login","Test Login with valid user data"
"passed","Wed May 08 13:20:28 GMT 2024","Wed May 08 13:20:30 GMT 2024","2510","Surefire suite","Surefire test","tests.EAappTests.UITests","tests.EAappTests.UITests","testCreateAndDeleteUser","testCreateAndDeleteUser","Test Add user and deletes it"
"passed","Wed May 08 13:20:24 GMT 2024","Wed May 08 13:20:24 GMT 2024","694","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_update_user","test_update_user","Test Update your user and change the name, then get and see if all the details are correct"
"passed","Wed May 08 13:20:32 GMT 2024","Wed May 08 13:20:32 GMT 2024","318","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Wed May 08 13:20:23 GMT 2024","Wed May 08 13:20:24 GMT 2024","750","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_create_User","test_create_User","Test Add user then get the user to see of all the details are correct"
"passed","Wed May 08 13:20:23 GMT 2024","Wed May 08 13:20:23 GMT 2024","478","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_10_random_distinct_users","test_10_random_distinct_users","Test Select 10 random distinct users and print their names"
