"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 17:11:47 GMT 2024","Thu May 09 17:11:47 GMT 2024","424","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_10_random_distinct_users","test_10_random_distinct_users","Test Select 10 random distinct users and print their names"
"passed","Thu May 09 17:11:47 GMT 2024","Thu May 09 17:11:48 GMT 2024","755","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_create_User","test_create_User","Test Add user then get the user to see of all the details are correct"
"passed","Thu May 09 17:11:59 GMT 2024","Thu May 09 17:12:00 GMT 2024","336","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Thu May 09 17:12:00 GMT 2024","Thu May 09 17:12:00 GMT 2024","396","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_valid_login","test_valid_login","Test Login with valid user data"
"passed","Thu May 09 17:11:59 GMT 2024","Thu May 09 17:11:59 GMT 2024","377","Surefire suite","Surefire test","tests.SauceDemo.LoginTests","tests.SauceDemo.LoginTests","test_invalid_logins","test_invalid_logins","Test Login with invalid users data"
"passed","Thu May 09 17:11:54 GMT 2024","Thu May 09 17:11:57 GMT 2024","3187","Surefire suite","Surefire test","tests.EAappTests.UITests","tests.EAappTests.UITests","testCreateAndDeleteUser","testCreateAndDeleteUser","Test Add user and deletes it"
"passed","Thu May 09 17:11:48 GMT 2024","Thu May 09 17:11:49 GMT 2024","750","Surefire suite","Surefire test","tests.GoRestTests.APITests","tests.GoRestTests.APITests","test_update_user","test_update_user","Test Update your user and change the name, then get and see if all the details are correct"
